type,title,date_added,release_year,rating,description
TV Show,Bangkok Breaking,23-Sep-21,2021,TV-MA,"Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
Movie,Je Suis Karl,23-Sep-21,2021,TV-MA,"After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
Movie,Confessions of an Invisible Girl,22-Sep-21,2021,TV-PG,"When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
TV Show,Crime Stories: India Detectives,22-Sep-21,2021,TV-MA,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
TV Show,Dear White People,22-Sep-21,2021,TV-MA,"Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,22-Sep-21,2020,TV-MA,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
TV Show,Falsa identidad,22-Sep-21,2020,TV-MA,Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
Movie,Intrusion,22-Sep-21,2021,TV-14,"After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
TV Show,Jaguar,22-Sep-21,2021,TV-MA,"In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,22-Sep-21,2021,TV-14,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
TV Show,Resurrection: Ertugrul,22-Sep-21,2018,TV-14,"When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
Movie,Avvai Shanmughi,21-Sep-21,1996,TV-PG,"Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,21-Sep-21,2021,TV-Y,"From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
Movie,Jeans,21-Sep-21,1998,TV-14,"When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
TV Show,Love on the Spectrum,21-Sep-21,2021,TV-14,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
Movie,Minsara Kanavu,21-Sep-21,1997,TV-PG,A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
Movie,Grown Ups,20-Sep-21,2010,PG-13,"Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
Movie,Dark Skies,19-Sep-21,2013,PG-13,"A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
Movie,Paranoia,19-Sep-21,2013,PG-13,"Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
Movie,Ankahi Kahaniya,17-Sep-21,2021,TV-14,"As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
TV Show,Chicago Party Aunt,17-Sep-21,2021,TV-MA,Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
TV Show,Sex Education,17-Sep-21,2020,TV-MA,"Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
TV Show,Squid Game,17-Sep-21,2021,TV-MA,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
TV Show,Tayo and Little Wizards,17-Sep-21,2020,TV-Y7,Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
Movie,The Father Who Moves Mountains,17-Sep-21,2021,TV-MA,"When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
Movie,The Stronghold,17-Sep-21,2021,TV-MA,"Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
TV Show,Angry Birds,16-Sep-21,2018,TV-Y7,"Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
Movie,Birth of the Dragon,16-Sep-21,2017,PG-13,"A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
TV Show,Chhota Bheem,16-Sep-21,2021,TV-Y7,"A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
TV Show,He-Man and the Masters of the Universe,16-Sep-21,2021,TV-Y7,Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
Movie,Jaws,16-Sep-21,1975,PG,"When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
Movie,Jaws 2,16-Sep-21,1978,PG,"Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
Movie,Jaws 3,16-Sep-21,1983,PG,"After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
Movie,Jaws: The Revenge,16-Sep-21,1987,PG-13,"After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
Movie,My Heroes Were Cowboys,16-Sep-21,2021,PG,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
Movie,Safe House,16-Sep-21,2012,R,Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
TV Show,The Smart Money Woman,16-Sep-21,2020,TV-MA,"Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
Movie,Training Day,16-Sep-21,2001,R,A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
TV Show,Castle and Castle,15-Sep-21,2021,TV-MA,"A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
TV Show,Dharmakshetra,15-Sep-21,2014,TV-PG,"After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,15-Sep-21,2002,TV-14,"With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,15-Sep-21,2003,TV-14,The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
Movie,InuYasha the Movie 4: Fire on the Mystic Island,15-Sep-21,2004,TV-PG,"Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
Movie,InuYasha the Movie: Affections Touching Across Time,15-Sep-21,2001,TV-PG,"A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
TV Show,Nailed It,15-Sep-21,2021,TV-PG,"Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
Movie,Naruto Shippuden the Movie: Blood Prison,15-Sep-21,2011,TV-14,"Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
Movie,Naruto Shippûden the Movie: Bonds,15-Sep-21,2008,TV-PG,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
Movie,Naruto Shippûden the Movie: The Will of Fire,15-Sep-21,2009,TV-PG,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
Movie,Naruto Shippuden: The Movie,15-Sep-21,2007,TV-PG,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
Movie,Naruto Shippuden: The Movie: The Lost Tower,15-Sep-21,2010,TV-14,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,15-Sep-21,2005,TV-PG,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,15-Sep-21,2006,TV-PG,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,15-Sep-21,2004,TV-PG,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
Movie,Nightbooks,15-Sep-21,2021,TV-PG,Scary story fan Alex must tell a spine-tingling tale every night — or stay trapped with his new friend in a wicked witch's magical apartment forever.
TV Show,Numberblocks,15-Sep-21,2021,TV-Y,"In a place called Numberland, math adds up to tons of fun when a group of cheerful blocks work, play and sing together."
TV Show,Raja Rasoi Aur Anya Kahaniyan,15-Sep-21,2014,TV-G,"Explore the history and flavors of regional Indian cuisine, from traditional Kashmiri feasts to the vegetarian dishes of Gujarat."
TV Show,Saved by the Bell,15-Sep-21,1994,TV-PG,"From middle school to college, best friends Zack, Kelly, Slater, Jessie, Screech and Lisa take on the highs and lows of life together in this hit series."
Movie,Schumacher,15-Sep-21,2021,TV-14,"Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
TV Show,Stories by Rabindranath Tagore,15-Sep-21,2015,TV-PG,The writings of Nobel Prize winner Rabindranath Tagore come to life in this collection of tales set in early-20th-century Bengal.
TV Show,Too Hot To Handle: Latino,15-Sep-21,2021,TV-MA,"On this reality show, singles from Latin America and Spain are challenged to give up sex. But here, abstinence comes with a silver lining: US$100,000."
Movie,A StoryBots Space Adventure,14-Sep-21,2021,TV-Y,Join the StoryBots and the space travelers of the historic Inspiration4 mission as they search for answers to kids' questions about space.
TV Show,Jack Whitehall: Travels with My Father,14-Sep-21,2021,TV-MA,"Jovial comic Jack Whitehall invites his stuffy father, Michael, to travel with him through Southeast Asia in an attempt to strengthen their bond."
Movie,King of Boys,14-Sep-21,2018,TV-MA,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
TV Show,The World's Most Amazing Vacation Rentals,14-Sep-21,2021,TV-PG,"With an eye for every budget, three travelers visit vacation rentals around the globe and share their expert tips and tricks in this reality series."
Movie,You vs. Wild: Out Cold,14-Sep-21,2021,TV-G,"After a plane crash leaves Bear with amnesia, he must make choices to save the missing pilot and survive in this high-stakes interactive adventure."
TV Show,Yowamushi Pedal,14-Sep-21,2013,TV-14,"A timid, anime-loving teen gets drawn into a school cycling club, where his new friends help him face tough challenges to develop his racing talent."
Movie,Little Singham - Black Shadow,11-Sep-21,2021,TV-Y7,Kid cop Little Singham loses all his superpowers while trying to stop the demon Kaal’s new evil plans! Can his inner strength help him defeat the enemy?
Movie,Tughlaq Durbar,11-Sep-21,2020,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Movie,Tughlaq Durbar (Telugu),11-Sep-21,2021,TV-14,A budding politician has devious plans to rise in the ranks — until an unexpected new presence begins to interfere with his every crooked move.
Movie,Firedrake the Silver Dragon,10-Sep-21,2021,TV-Y7,"When his home is threatened by humans, a young dragon summons the courage to seek a mythical paradise where dragons can live in peace and fly free."
Movie,Kate,10-Sep-21,2021,R,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
TV Show,Lucifer,10-Sep-21,2021,TV-14,"Bored with being the Lord of Hell, the devil relocates to Los Angeles, where he opens a nightclub and forms a connection with a homicide detective."
TV Show,Metal Shop Masters,10-Sep-21,2021,TV-MA,"On this competition show, a group of metal artists torch, cut and weld epic, badass creations from hardened steel. Only one will win a $50,000 prize."
Movie,Omo Ghetto: the Saga,10-Sep-21,2020,TV-MA,"Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
TV Show,Pokémon Master Journeys: The Series,10-Sep-21,2021,TV-Y7,"As Ash battles his way through the World Coronation Series, Goh continues his quest to catch every Pokémon. Together, they're on a journey to adventure!"
Movie,Prey,10-Sep-21,2021,TV-MA,A hiking trip into the wild turns into a desperate bid for survival for five friends on the run from a mysterious shooter.
TV Show,Titipo Titipo,10-Sep-21,2019,TV-Y,Titipo the train is out to prove that he's got what it takes to help the folks of Train Village ride the rails safely and reliably.
Movie,Blood Brothers: Malcolm X & Muhammad Ali,09-Sep-21,2021,PG-13,"From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
TV Show,Mighty Raju,09-Sep-21,2017,TV-Y7,"Born with superhuman abilities, young Raju wants to use his powers to make the world a better place — but that will mean facing plenty of challenges!"
Movie,Paradise Hills,09-Sep-21,2019,TV-MA,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
Movie,The Women and the Murderer,09-Sep-21,2021,TV-14,This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
TV Show,Into the Night,08-Sep-21,2021,TV-MA,Passengers and crew aboard a hijacked overnight flight scramble to outrace the sun as a mysterious cosmic event wreaks havoc on the world below.
Movie,JJ+E,08-Sep-21,2021,TV-MA,"Elisabeth and John-John live in the same city, but they inhabit different worlds. Can a passionate first love break through class and cultural barriers?"
Movie,Show Dogs,08-Sep-21,2018,PG,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
TV Show,The Circle,08-Sep-21,2021,TV-MA,"Status and strategy collide in this social experiment and competition show where online players flirt, befriend and catfish their way toward $100,000."
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,07-Sep-21,2018,TV-MA,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
TV Show,Kid Cosmic,07-Sep-21,2021,TV-Y7,A boy's superhero dreams come true when he finds five powerful cosmic stones. But saving the day is harder than he imagined — and he can't do it alone.
TV Show,Octonauts: Above & Beyond,07-Sep-21,2021,TV-Y,"The Octonauts expand their exploration beyond the sea — and onto land! With new rides and new friends, they'll protect any habitats and animals at risk."
TV Show,On the Verge,07-Sep-21,2021,TV-MA,"Four women — a chef, a single mom, an heiress and a job seeker — dig into love and work, with a generous side of midlife crises, in pre-pandemic LA."
TV Show,Tobot Galaxy Detectives,07-Sep-21,2019,TV-Y7,"An intergalactic device transforms toy cars into robots: the Tobots! Working with friends to solve mysteries, they protect the world from evil."
Movie,Untold: Breaking Point,07-Sep-21,2021,TV-MA,"Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
TV Show,Countdown: Inspiration4 Mission to Space,06-Sep-21,2021,TV-14,"From training to launch to landing, this all-access docuseries rides along with the Inspiration4 crew on the first all-civilian orbital space mission."
Movie,Shadow Parties,06-Sep-21,2020,TV-MA,A family faces destruction in a long-running conflict between communities that pits relatives against each other amid attacks and reprisals.
TV Show,Tayo the Little Bus,06-Sep-21,2016,TV-Y,"As they learn their routes around the busy city, Tayo and his little bus friends discover new sights and go on exciting adventures every day."
Movie,Angamaly Diaries,05-Sep-21,2017,TV-14,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
TV Show,Bunk'd,05-Sep-21,2021,TV-G,"The Ross siblings of Disney's hit series ""Jessie"" spend a summer full of fun and adventure at Maine's Camp Kikiwaka, where their parents first met."
Movie,A Champion Heart,04-Sep-21,2018,G,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
TV Show,Dive Club,03-Sep-21,2021,TV-G,"On the shores of Cape Mercy, a skillful group of teen divers investigate a series of secrets and signs after one of their own mysteriously goes missing."
TV Show,La casa de papel,03-Sep-21,2021,TV-MA,Eight thieves take hostages and lock themselves in the Royal Mint of Spain as a criminal mastermind manipulates the police to carry out his plan.
TV Show,Money Heist: From Tokyo to Berlin,03-Sep-21,2021,TV-MA,"The filmmakers and actors behind ""Money Heist"" characters like Tokyo and the Professor talk about the emotional artistic process of filming the series."
TV Show,Sharkdog,03-Sep-21,2021,TV-Y,"Half shark, half dog with a big heart and a belly full of fish sticks! Together, Sharkdog and his human pal Max can take on any silly or messy adventure."
Movie,Worth,03-Sep-21,2021,PG-13,"In the wake of the Sept. 11 attacks, a lawyer faces an emotional reckoning as he attempts to put a dollar value on the lives lost. Based on real events."
Movie,Afterlife of the Party,02-Sep-21,2021,TV-PG,Cassie lives to party... until she dies in a freak accident. Now this social butterfly needs to right her wrongs on Earth if she wants to earn her wings.
Movie,Anjaam,02-Sep-21,1994,TV-14,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
Movie,Bright Star,02-Sep-21,2009,PG,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
Movie,Dhanak,02-Sep-21,2015,TV-PG,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
Movie,Final Account,02-Sep-21,2021,PG-13,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
Movie,Gurgaon,02-Sep-21,2017,TV-14,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
Movie,Here and There,02-Sep-21,2020,TV-MA,"After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
TV Show,Heroes of Goo Jit Zu,02-Sep-21,2021,TV-Y7,"After a meteor crash, a group of zoo animals transforms into squishy, gooey and stretchy superheroes with special powers and soon takes on evildoers."
TV Show,Hotel Del Luna,02-Sep-21,2019,TV-14,"When he's invited to manage a hotel for dead souls, an elite hotelier gets to know the establishment's ancient owner and her strange world."
Movie,In the Cut,02-Sep-21,2003,R,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
TV Show,Luv Kushh,02-Sep-21,2012,TV-Y7,"Based on the last book of the epic Ramayana, this series follows the endeavors and adventures of Lord Rama’s twin sons through their childhood."
TV Show,Pororo - The Little Penguin,02-Sep-21,2013,TV-Y7,"On a tiny island, Pororo the penguin has fun adventures with his friends Eddy the fox, Loopy the beaver, Poby the polar bear and Crong the dinosaur."
TV Show,Q-Force,02-Sep-21,2021,TV-MA,"A gay superspy and his scrappy LGBTQ squad fight to prove themselves to the agency that underestimated them. Today, West Hollywood… tomorrow, the world!"
Movie,Shikara,02-Sep-21,2020,TV-14,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
Movie,A Cinderella Story,01-Sep-21,2004,PG,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
Movie,Agatha Christie's Crooked House,01-Sep-21,2017,PG-13,"When a detective investigates the death of his ex-lover's grandfather, he uncovers secrets about the tycoon's manipulative family."
Movie,An Unfinished Life,01-Sep-21,2005,PG-13,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
Movie,Barbie Big City Big Dreams,01-Sep-21,2021,TV-Y,"At a summer performing arts program in New York City, Barbie from Malibu meets Barbie from Brooklyn, and the two become fast friends."
Movie,Blade Runner: The Final Cut,01-Sep-21,1982,R,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
TV Show,Brave Animated Series,01-Sep-21,2021,TV-MA,A group of superheroes sets out to rid the world of evil — only to realize they may not be standing on the side of justice. Based on a popular comic.
Movie,Chappie,01-Sep-21,2015,R,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
Movie,Clear and Present Danger,01-Sep-21,1994,PG-13,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
Movie,Cliffhanger,01-Sep-21,1993,R,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
Movie,Cold Mountain,01-Sep-21,2003,R,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
Movie,Crocodile Dundee in Los Angeles,01-Sep-21,2001,PG,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
Movie,Dear John,01-Sep-21,2010,PG-13,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
Movie,Do the Right Thing,01-Sep-21,1989,R,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
Movie,"El patrón, radiografía de un crimen",01-Sep-21,2014,TV-MA,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
Movie,Extraction,01-Sep-21,2015,R,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
Movie,Freedom Writers,01-Sep-21,2007,PG-13,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
Movie,Green Lantern,01-Sep-21,2011,PG-13,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
Movie,House Party,01-Sep-21,1990,R,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
Movie,House Party 2,01-Sep-21,1991,R,"Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
Movie,House Party 3,01-Sep-21,1994,R,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
TV Show,How to Be a Cowboy,01-Sep-21,2021,TV-PG,"Dale Brisby uses social media savvy and rodeo skills to keep cowboy traditions alive — and now he's teaching the world how to cowboy right, ol' son."
TV Show,HQ Barbers,01-Sep-21,2020,TV-14,"When a family run barber shop in the heart of Lagos is threatened by real estate developers, they'll do whatever it takes to stay in business."
Movie,I Got the Hook Up,01-Sep-21,1998,R,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
Movie,In Too Deep,01-Sep-21,1999,R,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
Movie,Initial D,01-Sep-21,2005,TV-14,"By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
Movie,Janoskians: Untold and Untrue,01-Sep-21,2016,TV-MA,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
TV Show,Kid-E-Cats,01-Sep-21,2016,TV-Y,"Cookie, Pudding and Candy are kitten siblings whose favorite things are sweet treats and letting their curiosity lead them on adventures in learning."
TV Show,Kuroko's Basketball,01-Sep-21,2015,TV-MA,"Five middle school basketball stars went to separate high schools, and now Tetsuya Kuroko and Seirin High are making their play for glory."
Movie,Labyrinth,01-Sep-21,1986,PG,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
Movie,Letters to Juliet,01-Sep-21,2010,PG,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
Movie,Level 16,01-Sep-21,2018,TV-14,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
Movie,Love Don't Cost a Thing,01-Sep-21,2003,PG-13,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
Movie,Love in a Puff,01-Sep-21,2010,TV-MA,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
TV Show,Major Dad,01-Sep-21,1992,TV-PG,"When he marries a journalist and becomes stepdad to her daughters, a U.S. Marine finds his once-orderly life no longer entirely under his command."
Movie,Mars Attacks!,01-Sep-21,1996,PG-13,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
Movie,Marshall,01-Sep-21,2017,PG-13,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
Movie,My Boss's Daughter,01-Sep-21,2003,R,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
Movie,Mystery Men,01-Sep-21,1999,PG-13,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
TV Show,Oldsters,01-Sep-21,2019,TV-MA,Three friends in their 70s step out of retirement to become a band of outlaws whose mission is to help those let down by the justice system.
Movie,Once Upon a Time in America,01-Sep-21,1984,R,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
Movie,Open Season 2,01-Sep-21,2008,PG,Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
Movie,Osmosis Jones,01-Sep-21,2001,PG,Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
Movie,Poseidon,01-Sep-21,2006,PG-13,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
